,Order,Seasonal Order,MAPE,AIC,BIC
202,"(4, 1, 2)","(1, 0, 1, 12)",0.05337060698833733,944.71,962.0
203,"(4, 1, 2)","(1, 0, 2, 12)",0.05229507886266032,741.02,758.0
204,"(4, 1, 2)","(2, 0, 0, 12)",0.05771257726306981,721.54,736.0
205,"(4, 1, 2)","(2, 0, 1, 12)",0.061712158738633546,722.97,739.0
206,"(4, 1, 2)","(2, 0, 2, 12)",0.06754146769073446,727.69,746.0
207,"(4, 1, 3)","(0, 0, 0, 12)",0.0826257756757677,1180.57,1198.0
208,"(4, 1, 3)","(0, 0, 1, 12)",0.079836366316304,950.65,968.0
209,"(4, 1, 3)","(0, 0, 2, 12)",0.08422248109266074,725.07,741.0
210,"(4, 1, 3)","(1, 0, 0, 12)",0.06924929006618534,945.78,963.0
211,"(4, 1, 3)","(1, 0, 1, 12)",0.054223481888389845,936.66,956.0
212,"(4, 1, 3)","(1, 0, 2, 12)",0.05715534752118528,717.82,736.0
213,"(4, 1, 3)","(2, 0, 0, 12)",0.05466768912527379,719.36,736.0
214,"(4, 1, 3)","(2, 0, 1, 12)",0.06040184633520662,716.06,734.0
215,"(4, 1, 3)","(2, 0, 2, 12)",0.06159936563772832,719.53,739.0
216,"(4, 1, 4)","(0, 0, 0, 12)",0.06593526235392706,1156.2,1175.0
217,"(4, 1, 4)","(0, 0, 1, 12)",0.06885322314231705,925.55,944.0
218,"(4, 1, 4)","(0, 0, 2, 12)",0.06651827817129585,703.25,721.0
219,"(4, 1, 4)","(1, 0, 0, 12)",0.07275079118068,941.09,960.0
220,"(4, 1, 4)","(1, 0, 1, 12)",0.06387499518463938,920.28,941.0
221,"(4, 1, 4)","(1, 0, 2, 12)",0.050191570128412084,694.99,714.0
222,"(4, 1, 4)","(2, 0, 0, 12)",0.0693129727781472,717.62,736.0
223,"(4, 1, 4)","(2, 0, 1, 12)",0.054385467280266685,715.82,735.0
224,"(4, 1, 4)","(2, 0, 2, 12)",0.054668698663385994,696.99,718.0
